,points,province,variety,price
0,4,Washington,Riesling,17
1,2,California,Bordeaux-style Red Blend,20
2,3,California,Cabernet Sauvignon,18
4,4,California,Cabernet Sauvignon,80
5,3,California,Grenache Blanc,25
6,3,Washington,Sparkling Blend,12
7,3,California,Syrah,50
10,2,California,Merlot,11
11,1,NorthernSpain,Garnacha,9
13,4,California,Chardonnay,52
14,3,Tuscany,Red Blend,35
15,2,California,Riesling,28
16,4,California,Pinot Noir,39
17,3,California,Pinot Noir,58
19,4,California,Cabernet Sauvignon,150
21,2,California,Zinfandel,21
22,3,California,Merlot,54
24,1,NorthernSpain,Tempranillo Blend,10
26,5,California,Cabernet Sauvignon,135
28,4,Washington,Chardonnay,40
30,2,California,Cabernet Sauvignon,15
31,3,Washington,Chardonnay,50
34,3,California,Pinot Noir,25
37,1,California,Shiraz,12
42,4,California,Bordeaux-style Red Blend,30
44,4,Tuscany,Sangiovese Grosso,70
45,2,Washington,Red Blend,28
47,2,California,Muscat Canelli,9
53,3,NorthernSpain,Tempranillo,22
54,5,Tuscany,Sangiovese Grosso,79
55,2,California,Chardonnay,13
57,3,California,Viognier,25
60,2,California,Merlot,14
63,4,California,Cabernet Sauvignon,60
66,3,California,Chardonnay,18
77,2,California,Riesling,13
81,2,California,Chardonnay,22
82,2,California,Pinot Noir,55
84,3,California,Chardonnay,39
86,2,California,Red Blend,42
87,2,California,Sauvignon Blanc,22
94,2,California,Cabernet Sauvignon,48
95,3,Washington,Chardonnay,12
96,2,California,Petite Sirah,28
99,1,California,Red Blend,25
100,2,California,Zinfandel,12
101,4,Washington,Cabernet Sauvignon,25
104,2,Tuscany,Sangiovese Grosso,60
105,2,Washington,Rosé,12
109,4,Washington,Cabernet Franc,35
111,4,California,Cabernet Franc,125
112,3,Bordeaux,Bordeaux-style Red Blend,17
113,4,California,Merlot,85
114,2,California,Red Blend,32
116,3,California,Zinfandel,45
118,2,Bordeaux,Bordeaux-style White Blend,24
121,2,Washington,Syrah,30
122,3,California,Cabernet Sauvignon,29
130,2,Washington,Merlot,28
131,3,Washington,Cabernet Sauvignon,55
133,4,California,Cabernet Sauvignon,125
135,4,Tuscany,Red Blend,56
138,3,California,Cabernet Sauvignon,40
142,3,California,Cabernet Sauvignon,35
145,2,California,Bordeaux-style Red Blend,30
146,3,Washington,Chardonnay,14
148,3,California,Chardonnay,24
153,3,Tuscany,Red Blend,30
157,2,California,Chardonnay,15
158,2,Bordeaux,Bordeaux-style Red Blend,11
161,3,Washington,Rosé,20
163,3,NorthernSpain,Viura,45
164,2,California,Meritage,38
165,4,California,Grenache,28
167,3,Washington,Syrah,22
169,1,California,Zinfandel,28
170,2,Tuscany,Sangiovese,64
172,3,Washington,Chardonnay,23
176,3,California,Zinfandel,40
178,3,California,Syrah,40
179,2,California,Merlot,30
180,4,Washington,Bordeaux-style Red Blend,48
183,3,Washington,Malbec,30
186,1,NorthernSpain,Tempranillo,11
188,3,California,Syrah,30
190,4,California,Zinfandel,30
196,2,Washington,Cabernet Sauvignon,18
200,3,Tuscany,Sangiovese,38
201,3,Bordeaux,Bordeaux-style White Blend,30
203,3,California,Zinfandel,40
206,2,Washington,Viognier,24
207,3,California,Zinfandel,24
209,3,NorthernSpain,Godello,19
211,2,California,Merlot,35
214,4,California,Zinfandel,52
215,2,California,Bordeaux-style Red Blend,65
217,2,California,Merlot,10
219,2,California,Rosé,18
220,2,Tuscany,Red Blend,17
225,1,California,Zinfandel,20
226,3,California,Syrah,23
230,2,Tuscany,Sangiovese,42
231,4,California,Chardonnay,38
232,2,California,Pinot Noir,38
234,4,California,Cabernet Sauvignon,55
236,4,California,Cabernet Sauvignon,85
237,1,California,Pinot Noir,20
238,2,California,Syrah,25
240,2,California,Merlot,35
242,2,NorthernSpain,Tempranillo-Garnacha,8
243,1,Washington,Cabernet Sauvignon,35
244,4,California,Cabernet Sauvignon,60
245,3,California,Pinot Noir,33
249,1,California,Sauvignon Blanc,24
253,3,California,Cabernet Sauvignon,50
254,2,California,Merlot,12
257,2,California,Syrah,38
260,4,California,Syrah,28
263,3,California,Tempranillo,36
264,2,California,Petite Sirah,10
265,4,California,Chardonnay,65
266,2,California,Zinfandel,13
268,4,California,Chardonnay,28
269,2,California,Zinfandel,20
270,4,Washington,Bordeaux-style Red Blend,40
271,4,California,Pinot Noir,40
272,3,California,Cabernet Franc,65
273,3,Washington,Red Blend,20
275,2,California,Chardonnay,43
278,2,California,Pinot Noir,42
280,1,California,Red Blend,13
281,4,California,Merlot,75
282,2,California,Gewürztraminer,20
284,2,California,Syrah,20
286,3,Bordeaux,Bordeaux-style Red Blend,30
288,1,California,Zinfandel,19
290,2,California,Cabernet Sauvignon,18
292,4,Tuscany,Red Blend,50
295,3,Washington,Malbec,49
298,3,California,Pinot Noir,48
301,2,Washington,Chardonnay,17
303,3,NorthernSpain,Tempranillo,26
304,3,Washington,Cabernet Sauvignon,50
305,3,California,Cabernet Sauvignon,44
307,3,NorthernSpain,Tempranillo,31
310,3,Washington,Cabernet Sauvignon,45
311,2,Bordeaux,Bordeaux-style Red Blend,20
313,2,California,Cabernet Sauvignon,20
314,2,California,Zinfandel,34
315,3,Bordeaux,Bordeaux-style Red Blend,18
317,3,California,Pinot Noir,52
319,3,Washington,Red Blend,24
323,2,California,Merlot,25
328,2,NorthernSpain,Tempranillo,28
333,4,Tuscany,Merlot,460
335,1,California,Syrah,20
336,3,California,Chardonnay,25
337,3,California,Pinot Noir,35
339,2,Bordeaux,Rosé,9
341,4,Tuscany,Sangiovese Grosso,55
345,2,Tuscany,Vernaccia,24
347,4,California,Pinot Noir,56
348,2,Tuscany,Sangiovese,12
352,3,Washington,Red Blend,33
353,4,California,Cabernet Sauvignon,40
354,2,Washington,Chardonnay,9
355,2,California,Sémillon,26
356,4,California,Chardonnay,32
357,4,California,Pinot Noir,75
359,3,California,Cabernet Sauvignon,48
360,2,Washington,Cabernet Sauvignon,15
362,1,NorthernSpain,White Blend,11
364,4,California,Syrah,40
372,3,Washington,Bordeaux-style Red Blend,60
374,4,Tuscany,Sangiovese,95
375,4,California,Merlot,42
376,1,California,Barbera,28
378,4,California,Sauvignon Blanc,29
381,3,Washington,Red Blend,45
388,4,California,Bordeaux-style Red Blend,80
389,1,California,Chardonnay,14
390,3,California,Petite Sirah,59
395,3,Tuscany,Sangiovese Grosso,70
399,2,California,Zinfandel,32
409,3,Washington,Red Blend,33
412,4,California,Cabernet Sauvignon,80
413,3,Washington,Cabernet Franc,30
414,2,California,Chardonnay,12
419,2,California,Mourvèdre,25
423,2,Bordeaux,Bordeaux-style Red Blend,14
425,3,California,Pinot Noir,48
427,3,California,Riesling,25
440,2,California,Zinfandel,9
441,2,California,Sparkling Blend,22
447,2,Tuscany,Sangiovese Grosso,28
448,2,California,Zinfandel,14
454,1,California,Barbera,20
456,2,California,Merlot,42
458,4,Bordeaux,Bordeaux-style Red Blend,80
460,4,California,Chardonnay,22
463,3,Tuscany,Red Blend,49
464,4,California,Pinot Noir,45
466,2,California,Cabernet Sauvignon,27
468,2,California,Cabernet Sauvignon,8
469,3,Tuscany,Sangiovese,55
470,1,California,Rhône-style Red Blend,12
472,2,California,Petite Verdot,30
474,2,Tuscany,Sangiovese,26
475,1,NorthernSpain,Garnacha,12
478,4,Tuscany,Red Blend,150
479,2,California,Port,30
487,4,California,Cabernet Sauvignon,75
490,3,California,Merlot,36
491,2,Tuscany,Red Blend,45
492,3,California,Cabernet Sauvignon-Merlot,52
496,4,California,Merlot,85
499,1,NorthernSpain,Verdejo,13
501,3,Washington,Chardonnay,25
502,3,Tuscany,Red Blend,25
506,2,California,Pinot Noir,48
507,2,California,Muscat Canelli,17
509,1,NorthernSpain,Verdejo,13
512,4,California,Cabernet Sauvignon,42
513,2,Washington,Syrah,16
519,2,California,Pinot Noir,18
520,1,California,Cabernet Sauvignon,12
523,4,Tuscany,Merlot,300
535,1,California,Zinfandel,19
536,4,Washington,Merlot,28
538,2,California,Cabernet Sauvignon,100
540,1,Tuscany,Sangiovese,12
545,1,California,Sangiovese,20
546,3,Washington,Cabernet Franc,30
552,3,California,Cabernet Sauvignon,55
553,4,California,Chardonnay,28
554,2,California,Syrah,50
555,2,Washington,Cabernet Sauvignon,8
556,4,California,Cabernet Sauvignon,42
558,3,California,Pinot Noir,45
559,3,California,Cabernet Sauvignon,38
561,3,California,Sauvignon Blanc,15
563,1,California,Zinfandel,10
565,2,Washington,Chardonnay,14
566,2,NorthernSpain,Tinto del Pais,10
567,4,California,Cabernet Sauvignon,75
569,3,California,Red Blend,50
574,1,NorthernSpain,Tempranillo-Garnacha,13
575,2,Washington,Tempranillo,18
577,4,California,Cabernet Sauvignon,85
578,4,Washington,Semillon-Sauvignon Blanc,21
579,1,California,Chardonnay,7
580,2,Tuscany,Sangiovese,13
581,1,California,Syrah,30
582,3,California,Pinot Gris,18
584,2,California,Syrah,28
585,3,Washington,Sauvignon Blanc,10
589,2,California,Pinot Noir,35
595,2,California,Zinfandel,11
597,2,Washington,Cabernet Franc,28
598,3,California,Cabernet Franc,21
601,2,California,Cabernet Sauvignon,14
605,2,Washington,Petite Sirah,26
606,3,California,Sauvignon Blanc,13
607,2,California,Grüner Veltliner,15
611,2,NorthernSpain,Garnacha,8
612,3,California,Pinot Grigio,15
614,1,California,Viognier,13
617,2,Bordeaux,Bordeaux-style Red Blend,21
618,3,California,Rhône-style White Blend,25
619,3,California,Cabernet Sauvignon,65
620,3,California,Cabernet Sauvignon,100
622,4,California,Zinfandel,36
624,2,California,Grenache,42
625,2,California,Shiraz,25
629,3,California,Chardonnay,50
634,3,Washington,Red Blend,35
637,4,Tuscany,Sangiovese,70
639,2,California,Pinot Noir,35
640,2,California,Sangiovese,18
642,4,Tuscany,Sangiovese,45
643,4,California,Bordeaux-style Red Blend,125
645,2,California,Sauvignon Blanc,18
649,1,Washington,Sangiovese,28
650,1,California,Red Blend,20
652,1,California,Zinfandel,13
653,4,California,Bordeaux-style Red Blend,135
654,2,Tuscany,Sangiovese,15
655,3,California,Cabernet Franc,24
657,3,California,Zinfandel,19
662,3,California,Meritage,50
663,3,Tuscany,Red Blend,45
667,2,Washington,Red Blend,20
668,2,California,Sangiovese,28
670,3,California,Cabernet Sauvignon,80
673,2,California,Sauvignon Blanc,21
675,3,Washington,Mourvèdre,39
676,1,California,Lagrein,30
679,2,California,Cabernet Sauvignon,55
681,4,Tuscany,Sangiovese,40
685,3,Washington,Pinot Gris,12
686,2,California,Pinot Noir,30
687,2,California,Chardonnay,23
688,3,Tuscany,Sangiovese,19
690,3,Tuscany,Merlot,110
691,4,Tuscany,White Blend,82
695,3,NorthernSpain,Tempranillo Blend,46
697,3,Bordeaux,Bordeaux-style Red Blend,40
700,2,California,Pinot Noir,42
701,3,NorthernSpain,Tempranillo,34
702,1,California,Chardonnay,15
703,4,California,Pinot Noir,54
704,5,California,Bordeaux-style Red Blend,275
705,3,Washington,Red Blend,45
707,2,California,Zinfandel,28
714,3,Tuscany,Red Blend,16
716,2,Washington,Syrah,15
718,2,California,Zinfandel,16
719,2,Tuscany,Red Blend,19
720,2,California,Chardonnay,13
721,2,California,Pinot Noir,23
726,3,California,Cabernet Sauvignon,55
731,2,Tuscany,Red Blend,17
732,4,Tuscany,Red Blend,56
733,3,California,Bordeaux-style Red Blend,50
736,3,Washington,Grenache,27
741,4,California,Cabernet Sauvignon,42
743,1,California,Sauvignon Blanc,15
747,3,Tuscany,Red Blend,25
748,2,California,Cabernet Sauvignon,60
750,4,Tuscany,Red Blend,50
759,3,California,Zinfandel,24
760,3,California,Pinot Grigio,16
761,4,California,Pinot Noir,45
762,2,California,Red Blend,30
769,2,Washington,Chardonnay,25
771,2,California,Red Blend,10
773,1,California,Red Blend,34
778,1,California,Merlot,22
779,3,Tuscany,Sangiovese,70
784,2,NorthernSpain,Garnacha,8
785,3,Washington,Red Blend,30
786,2,California,Rosé,22
787,2,California,Riesling,13
790,3,Tuscany,Sangiovese,44
791,3,California,Syrah,55
792,2,NorthernSpain,Red Blend,11
795,3,California,Bordeaux-style Red Blend,70
